cuce,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
21-1412-00-1184376-1-1,Total Referencial:,14176,Total Adjudicado:,13887,Total Recepcionado:,13887
20-1280-00-1095781-1-1,Total Referencial:,130800,Total Recepcionado:,130800,,
21-1412-00-1182752-1-1,Total Referencial:,55620,Total Adjudicado:,54384,Total Recepcionado:,54384
21-1412-00-1182752-1-1,Total Referencial:,71240,Total Adjudicado:,70692,Total Recepcionado:,70692
20-1604-00-1046828-0-E,Total Adjudicado:,469300,Total Recepcionado:,469300,,
19-0902-43-1035196-0-E,Total Adjudicado:,49940,Total Recepcionado:,49940,,
21-0417-09-1172185-1-1,Total Referencial:,138200,Total Adjudicado:,108150,Total Recepcionado:,108150
20-1301-00-1051180-0-E,Total Adjudicado:,104500,,,,
21-0418-07-1140911-1-1,Total Referencial:,420000,Total Adjudicado:,419300,Total Recepcionado:,419300
21-0417-04-1146840-1-1,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
20-1115-00-1077334-1-1,Total Referencial:,125925,Total Adjudicado:,125800,Total Recepcionado:,125800
20-1322-00-1041959-0-E,Total Adjudicado:,150750,Total Recepcionado:,150750,,
20-0417-07-1083770-1-1,Total Referencial:,40200,Total Recepcionado:,32400,,
20-0417-01-1075912-1-1,Total Referencial:,81000,Total Recepcionado:,81000,,
20-0902-21-1037795-0-E,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-1704-00-1094074-1-1,Total Referencial:,642200,Total Adjudicado:,642200,Total Recepcionado:,642200
21-0417-09-1127288-1-2,Total Referencial:,48500,Total Recepcionado:,48500,,
20-1124-00-1095826-1-1,Total Referencial:,25500,Total Recepcionado:,25500,,
20-1257-00-1100851-1-1,Total Referencial:,51000,Total Recepcionado:,46750,,
20-1301-00-1049671-0-E,Total Adjudicado:,499799,,,,
20-1302-00-1098998-1-1,Total Referencial:,110000,Total Recepcionado:,110000,,
21-0902-01-1183481-1-1,Total Referencial:,49875,Total Recepcionado:,37620,,
20-0411-00-1090275-1-1,Total Referencial:,597402,Total Recepcionado:,597402,,
20-1301-00-1051051-0-E,Total Adjudicado:,64000,,,,
21-0513-00-1136544-2-1,Total Referencial:,259700,Total Adjudicado:,159350,Total Recepcionado:,159350
20-1279-00-1089134-1-1,Total Referencial:,49520,Total Recepcionado:,45742.96,,
20-4601-03-1090516-1-1,Total Referencial:,22135.24,Total Recepcionado:,21600,,
20-4601-00-1052508-0-E,Total Adjudicado:,49969,Total Recepcionado:,49969,,
20-1402-00-1039929-0-E,Total Adjudicado:,21000,,,,
20-1801-00-1078847-1-2,Total Referencial:,98560,Total Recepcionado:,98560,,
20-0908-00-1047029-0-E,Total Adjudicado:,25000,Total Recepcionado:,25000,,
20-1124-00-1048566-0-E,Total Adjudicado:,52250,Total Recepcionado:,52250,,
20-0903-00-1092931-1-1,Total Referencial:,111454,Total Adjudicado:,35900,Total Recepcionado:,35900
20-1515-00-1092771-1-1,Total Referencial:,22640,Total Recepcionado:,20670,,
21-0906-03-1127871-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1302-00-1049451-0-E,Total Adjudicado:,252750,Total Recepcionado:,252750,,
20-1331-00-1080629-1-1,Total Referencial:,163740.87,Total Adjudicado:,147114.99,Total Recepcionado:,147114.99
20-1701-00-1044169-0-E,Total Adjudicado:,242500,Total Recepcionado:,242500,,
20-1228-00-1084033-1-1,Total Referencial:,49950,Total Recepcionado:,49950,,
20-1342-00-1055380-2-1,Total Referencial:,939400,Total Adjudicado:,914320,Total Recepcionado:,914320
21-1302-00-1112137-1-1,Total Referencial:,49990,Total Recepcionado:,40391.4,,
20-1342-00-1038626-0-E,Total Adjudicado:,33040,Total Recepcionado:,33040,,
21-0517-00-1166323-1-1,Total Referencial:,96400,Total Adjudicado:,68800,Total Recepcionado:,68800
20-1301-00-1048615-0-E,Total Adjudicado:,434000,,,,
20-0417-09-1039091-2-3,Total Referencial:,273200,Total Adjudicado:,130000,Total Recepcionado:,130000
20-1734-00-1046443-0-E,Total Adjudicado:,56100,Total Recepcionado:,56100,,
20-0661-00-1087745-1-1,Total Referencial:,49815,Total Recepcionado:,15498,,
20-1201-00-1086746-1-1,Total Referencial:,34000,Total Recepcionado:,29990,,
20-1401-00-1035122-0-E,Total Adjudicado:,32100,Total Recepcionado:,32100,,
20-0146-00-1069843-1-1,Total Referencial:,348400,Total Adjudicado:,299772.75,Total Recepcionado:,299772.75
21-0417-04-1142595-1-1,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
20-0417-03-1049860-0-E,Total Adjudicado:,191620,Total Recepcionado:,191620,,
20-1342-00-1065679-1-1,Total Referencial:,619999.9400000001,Total Adjudicado:,451381,Total Recepcionado:,451381
20-0417-05-1073122-1-1,Total Referencial:,400000,Total Adjudicado:,346900,Total Recepcionado:,346900
20-1326-00-1054054-1-1,Total Referencial:,60000,Total Adjudicado:,35000,Total Recepcionado:,35000
21-1414-00-1116686-1-1,Total Referencial:,29400,Total Recepcionado:,29400,,
21-0417-06-1124809-1-1,Total Referencial:,22500,Total Recepcionado:,17535,,
20-0902-07-1061669-1-1,Total Referencial:,67200,Total Adjudicado:,66784,Total Recepcionado:,66784
21-0661-00-1179591-1-1,Total Referencial:,45000,Total Recepcionado:,33750,,
21-1302-00-1107676-1-1,Total Referencial:,49992,Total Recepcionado:,24000,,
20-0906-03-1047134-0-E,Total Adjudicado:,40645,Total Recepcionado:,40645,,
20-0035-01-1096977-1-1,Total Referencial:,49910,Total Recepcionado:,45080,,
21-0417-06-1143501-1-1,Total Referencial:,195250,Total Adjudicado:,182500,Total Recepcionado:,182500
20-1317-00-1040114-0-E,Total Adjudicado:,26260,Total Recepcionado:,26260,,
20-1304-00-1092559-1-1,Total Referencial:,369386.4,Total Adjudicado:,367967.4,Total Recepcionado:,367967.4
20-0206-00-1047138-0-E,Total Adjudicado:,21248,Total Recepcionado:,21248,,
20-1301-00-1047104-0-E,Total Adjudicado:,238000,,,,
21-1502-00-1176204-1-1,Total Referencial:,101029.92,Total Adjudicado:,100908,Total Recepcionado:,100908
20-1301-00-1049685-0-E,Total Adjudicado:,995000,,,,
20-1734-00-1094211-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-1201-00-1089602-1-1,Total Referencial:,49954.840000000004,Total Recepcionado:,45084,,
20-0423-00-1038667-0-E,Total Adjudicado:,41500,Total Recepcionado:,41500,,
20-0902-00-1031238-0-E,Total Adjudicado:,69265,Total Recepcionado:,69265,,
20-1306-00-1040678-0-E,Total Adjudicado:,48000,Total Recepcionado:,48000,,
21-1301-00-1126115-1-1,Total Referencial:,44900,Total Recepcionado:,31378,,
20-1201-00-1088425-1-1,Total Referencial:,49950,Total Recepcionado:,49950,,
20-0417-05-1046385-0-E,Total Adjudicado:,49980,Total Recepcionado:,49980,,
20-0417-01-1051402-0-E,Total Adjudicado:,29388.6,Total Recepcionado:,29388.6,,
20-1501-00-1040010-0-E,Total Adjudicado:,33700,Total Recepcionado:,33700,,
21-0513-00-1165553-1-1,Total Referencial:,96750,Total Adjudicado:,76275,Total Recepcionado:,76275
20-0908-00-1039245-0-E,Total Adjudicado:,49896,Total Recepcionado:,49896,,
21-0513-00-1118043-1-1,Total Referencial:,88140,Total Adjudicado:,34426.18,Total Recepcionado:,34426.18
21-1342-00-1130934-1-1,Total Referencial:,26600,Total Recepcionado:,26600,,
20-1301-00-1091088-1-1,Total Referencial:,35640,Total Recepcionado:,35640,,
21-1605-00-1178597-1-1,Total Referencial:,41132,Total Recepcionado:,38004.5,,
20-1115-00-1094052-1-1,Total Referencial:,49997.09,Total Recepcionado:,49997.09,,
20-0517-00-1037588-0-E,Total Adjudicado:,152100,Total Recepcionado:,152100,,
20-0141-00-1067583-1-1,Total Referencial:,350000,Total Adjudicado:,330000,Total Recepcionado:,330000
20-3301-00-1096501-1-1,Total Referencial:,99180,Total Adjudicado:,99180,Total Recepcionado:,99180
20-1604-00-1046145-0-E,Total Adjudicado:,3085792.4,Total Recepcionado:,3085792.4,,
20-0908-00-1047631-0-E,Total Adjudicado:,105000,Total Recepcionado:,105000,,
21-0020-00-1173514-1-1,Total Referencial:,31750,Total Recepcionado:,21463,,
20-1327-00-1065778-1-1,Total Referencial:,126600,Total Adjudicado:,87130,Total Recepcionado:,87130
20-1201-00-1049498-0-E,Total Adjudicado:,276444,,,,
20-1301-00-1047272-0-E,Total Adjudicado:,20300,,,,
20-1528-00-1064750-1-2,Total Referencial:,320000,Total Adjudicado:,280000,Total Recepcionado:,280000
20-1734-00-1094167-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-0906-00-1076523-1-1,Total Referencial:,842400,Total Adjudicado:,91000,Total Recepcionado:,91000
21-0417-06-1137324-1-1,Total Referencial:,34000,Total Recepcionado:,22000,,
20-0141-00-1072793-1-1,Total Referencial:,884400,Total Adjudicado:,864300,Total Recepcionado:,864300
20-1734-00-1046488-0-E,Total Adjudicado:,66000,Total Recepcionado:,66000,,
20-1805-00-1040265-0-E,Total Adjudicado:,400000,Total Recepcionado:,400000,,
20-1342-00-1049449-0-E,Total Adjudicado:,40716,Total Recepcionado:,40716,,
20-1205-00-1040480-0-E,Total Adjudicado:,3264625,Total Recepcionado:,3264625,,
21-1605-00-1173980-1-1,Total Referencial:,49900,Total Recepcionado:,46250,,
20-0417-07-1081398-1-1,Total Referencial:,31000,Total Recepcionado:,30500,,
21-1810-00-1108938-1-1,Total Referencial:,22655.12,Total Recepcionado:,18772.12,,
21-0423-00-1152290-1-1,Total Referencial:,42900,Total Recepcionado:,39500,,
21-2315-00-1150031-1-1,Total Referencial:,46800,Total Recepcionado:,46800,,
20-1322-00-1098672-1-1,Total Referencial:,181200,Total Adjudicado:,121200,Total Recepcionado:,121200
20-0903-00-1042447-0-E,Total Adjudicado:,84250,Total Recepcionado:,84250,,
21-0908-36-1187203-1-1,Total Referencial:,30132,Total Recepcionado:,30132,,
21-1311-00-1164374-1-2,Total Referencial:,30000,Total Recepcionado:,25000,,
20-1734-00-1094199-2-1,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
20-1301-00-1049853-0-E,Total Adjudicado:,1013711,,,,
20-1506-00-1089982-1-1,Total Referencial:,100000,Total Adjudicado:,98753,Total Recepcionado:,98753
20-1280-00-1096673-1-1,Total Referencial:,117263.4,Total Adjudicado:,116379,Total Recepcionado:,116379
20-1302-00-1051818-0-E,Total Adjudicado:,25700,Total Recepcionado:,25700,,
20-1235-00-1090946-1-1,Total Referencial:,49997.86,Total Recepcionado:,49997.86,,
20-1201-00-1042106-0-E,Total Adjudicado:,70140,Total Recepcionado:,70140,,
20-1312-00-1092328-1-1,Total Referencial:,348849.23000000004,Total Recepcionado:,292577.03,,
21-0902-43-1134932-1-1,Total Referencial:,999990,Total Adjudicado:,722215,Total Recepcionado:,694395
21-0417-06-1156085-1-1,Total Referencial:,58000,Total Adjudicado:,57990,Total Recepcionado:,57990
20-0908-00-1043619-0-E,Total Adjudicado:,135000,Total Recepcionado:,135000,,
20-1307-00-1052097-1-1,Total Referencial:,198779.47999999998,Total Adjudicado:,67450,Total Recepcionado:,67450
21-0423-00-1126331-1-1,Total Referencial:,47126.4,Total Recepcionado:,35447.44,,
20-0417-03-1063459-1-2,Total Referencial:,119886,Total Adjudicado:,118508,Total Recepcionado:,118508
21-0046-28-1188915-1-1,Total Referencial:,19717,,,,
21-0417-06-1120404-1-3,Total Referencial:,962500,Total Adjudicado:,616000,Total Recepcionado:,616000
20-0249-00-1094489-1-1,Total Referencial:,200000,Total Recepcionado:,200000,,
20-1120-00-1045579-0-E,Total Adjudicado:,159250,Total Recepcionado:,159250,,
21-0046-22-1105769-1-1,Total Referencial:,41335,Total Recepcionado:,35036,,
21-0513-00-1153153-1-1,Total Referencial:,40400,Total Recepcionado:,38796,,
20-1755-00-1064565-2-1,Total Referencial:,1607000,Total Adjudicado:,1004253,Total Recepcionado:,1004253
20-1313-00-1047071-0-E,Total Adjudicado:,347497,Total Recepcionado:,347497,,
21-0901-02-1171996-1-1,Total Referencial:,106699.56,Total Recepcionado:,106699.56,,
20-0901-02-1049348-0-E,Total Adjudicado:,1394970,,,,
20-3701-00-1091083-1-1,Total Referencial:,199965,Total Adjudicado:,198445,Total Recepcionado:,198445
20-1310-00-1039891-0-E,Total Adjudicado:,42000,Total Recepcionado:,42000,,
20-1704-00-1039812-0-E,Total Adjudicado:,56100,,,,
21-0417-04-1135367-1-1,Total Referencial:,980000,Total Adjudicado:,901600,Total Recepcionado:,991760
20-1339-00-1096631-1-1,Total Referencial:,49852.3,Total Recepcionado:,49852.3,,
20-1803-00-1041508-0-E,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-1703-00-1051786-0-E,Total Adjudicado:,49800,Total Recepcionado:,49800,,
20-1312-00-1041306-0-E,Total Adjudicado:,394800,Total Recepcionado:,394800,,
20-1115-00-1074119-1-1,Total Referencial:,46800,Total Recepcionado:,46800,,
20-1218-00-1095164-1-1,Total Referencial:,42000,Total Recepcionado:,42000,,
21-1301-00-1165434-1-1,Total Referencial:,48006.6,Total Recepcionado:,36418.8,,
20-0417-06-1079071-1-1,Total Referencial:,37050,Total Recepcionado:,37050,,
21-0417-06-1124403-1-2,Total Referencial:,300000,Total Adjudicado:,110000,Total Recepcionado:,110000
21-0417-06-1159794-1-1,Total Referencial:,49940,Total Recepcionado:,49940,,
20-1302-00-1050079-0-E,Total Adjudicado:,46800,Total Recepcionado:,46800,,
20-0901-00-1083775-1-1,Total Referencial:,153251,Total Adjudicado:,105504,Total Recepcionado:,105504
21-0417-09-1142443-2-1,Total Referencial:,51000,Total Adjudicado:,47700,Total Recepcionado:,47700
20-0903-00-1095100-1-1,Total Referencial:,49741,Total Recepcionado:,27433,,
20-0417-09-1050993-0-E,Total Adjudicado:,127500,,,,
20-0417-01-1048544-0-E,Total Adjudicado:,35000,Total Recepcionado:,35000,,
20-1720-00-1043585-0-E,Total Adjudicado:,47600,Total Recepcionado:,47600,,
20-1508-00-1048357-0-E,Total Adjudicado:,22760,Total Recepcionado:,22760,,
20-1801-00-1040419-0-E,Total Adjudicado:,101025,Total Recepcionado:,101025,,
21-0046-22-1104835-1-1,Total Referencial:,141246,Total Adjudicado:,141246,Total Recepcionado:,141246
20-0035-01-1089370-1-1,Total Referencial:,199980,Total Adjudicado:,98879,Total Recepcionado:,98879
20-1313-00-1078475-1-1,Total Referencial:,573127.89,Total Recepcionado:,579999.06,,
20-0903-00-1038831-0-E,Total Adjudicado:,49950,Total Recepcionado:,49950,,
20-1206-00-1092776-1-1,Total Referencial:,4282,Total Recepcionado:,3307,,
20-1206-00-1092776-1-1,Total Referencial:,4190,Total Recepcionado:,4158,,
20-1206-00-1092776-1-1,Total Referencial:,1750,Total Recepcionado:,1743,,
20-1206-00-1092776-1-1,Total Referencial:,10983,Total Recepcionado:,10848.5,,
20-1301-00-1044796-0-E,Total Adjudicado:,142500,Total Recepcionado:,142500,,
21-0417-09-1138666-1-2,Total Referencial:,28800,Total Recepcionado:,28800,,
20-0903-00-1038282-0-E,Total Adjudicado:,55800,Total Recepcionado:,55800,,
21-0902-21-1186621-1-1,Total Referencial:,48000,Total Recepcionado:,14960,,
20-1604-00-1042188-0-E,Total Adjudicado:,,,,,
21-0901-02-1169805-1-2,Total Referencial:,22000,Total Recepcionado:,20500,,
21-0901-02-1149979-3-1,Total Referencial:,175000,Total Adjudicado:,175000,Total Recepcionado:,175000
20-1604-00-1048525-0-E,Total Adjudicado:,45000,,,,
20-1306-00-1039686-0-E,Total Adjudicado:,55000,Total Recepcionado:,55000,,
21-0904-04-1177282-1-1,Total Referencial:,49500,Total Recepcionado:,49500,,
21-0418-02-1180598-1-1,Total Referencial:,30000,Total Recepcionado:,24000,,
21-0905-00-1177849-1-1,Total Referencial:,45500,Total Recepcionado:,45500,,
21-0046-00-1165538-2-1,Total Referencial:,196950,Total Adjudicado:,190890,Total Recepcionado:,190890
20-0046-00-1039060-0-E,Total Adjudicado:,65100,Total Recepcionado:,65100,,
20-1532-00-1093453-1-1,Total Referencial:,1376150,Total Recepcionado:,1340532,,
21-0905-00-1177859-1-1,Total Referencial:,45500,Total Recepcionado:,45500,,
22-1508-00-1191464-1-1,Total Referencial:,213484,Total Adjudicado:,103983.8,Total Recepcionado:,
21-1201-00-1153724-1-1,Total Referencial:,49950,Total Recepcionado:,49950,,
20-1227-00-1082271-1-1,Total Referencial:,42500,Total Recepcionado:,42500,,
20-0901-00-1095074-1-1,Total Referencial:,24540,Total Recepcionado:,24540,,
21-1531-00-1109862-1-1,Total Referencial:,162100,Total Adjudicado:,158000,Total Recepcionado:,158000
20-1302-00-1048818-0-E,Total Adjudicado:,1735708,Total Recepcionado:,1735708,,
21-0145-00-1108702-1-1,Total Referencial:,48500,Total Recepcionado:,40594,,
20-1501-00-1045382-0-E,Total Adjudicado:,46500,Total Recepcionado:,46500,,
20-1712-00-1041999-0-E,Total Adjudicado:,168000,,,,
21-1101-00-1184392-1-1,Total Referencial:,28805.980000000003,Total Recepcionado:,20000,,
21-1301-00-1137497-1-1,Total Referencial:,49986,Total Recepcionado:,30547,,
20-1701-00-1085278-1-1,Total Referencial:,2022860,Total Recepcionado:,1375940,,
20-0902-01-1045747-0-E,Total Adjudicado:,30240,Total Recepcionado:,30240,,
20-0906-00-1043866-0-E,Total Adjudicado:,621566,,,,
21-1519-00-1117318-1-1,Total Referencial:,21800,Total Recepcionado:,19798,,
20-1315-00-1044130-0-E,Total Adjudicado:,149997,,,,
21-0417-06-1119813-1-2,Total Referencial:,980500,Total Adjudicado:,240500,Total Recepcionado:,240500
20-1206-00-1038818-0-E,Total Adjudicado:,20796.480000000003,Total Recepcionado:,20796.480000000003,,
20-1205-00-1039574-0-E,Total Adjudicado:,21273.16,Total Recepcionado:,21273.16,,
20-0660-13-1039499-0-E,Total Adjudicado:,46700,Total Recepcionado:,46700,,
20-0903-00-1039596-0-E,Total Adjudicado:,43440,Total Recepcionado:,43440,,
20-1201-00-1090708-1-1,Total Referencial:,49846,,,,
20-1805-00-1037410-0-E,Total Adjudicado:,98700,Total Recepcionado:,98700,,
20-0901-02-1098101-1-1,Total Referencial:,105000,Total Recepcionado:,105000,,
20-1306-00-1074461-1-1,Total Referencial:,525428.75,Total Adjudicado:,502228,Total Recepcionado:,502228
20-1101-00-1048958-0-E,Total Adjudicado:,49961,Total Recepcionado:,49961,,
20-1207-00-1092111-1-1,Total Referencial:,340000,Total Adjudicado:,340000,Total Recepcionado:,340000
20-0417-01-1074755-1-1,Total Referencial:,879000,Total Recepcionado:,226800,,
20-1302-00-1051586-0-E,Total Adjudicado:,45000,Total Recepcionado:,45000,,
20-0901-02-1085107-1-1,Total Referencial:,27924,Total Recepcionado:,24425,,
20-1306-00-1040448-0-E,Total Adjudicado:,126350,Total Recepcionado:,126350,,
21-1701-00-1125966-2-1,Total Referencial:,188160,Total Adjudicado:,188160,Total Recepcionado:,188160
21-0906-03-1140227-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
21-1306-00-1107507-1-1,Total Referencial:,49938,Total Recepcionado:,32699.5,,
20-1606-00-1048966-0-E,Total Adjudicado:,22000,Total Recepcionado:,22000,,
20-1344-00-1058644-2-1,Total Referencial:,400000,Total Adjudicado:,398808,Total Recepcionado:,398808
20-0901-00-1083934-1-1,Total Referencial:,602784,Total Adjudicado:,556416,,
20-1734-00-1046281-0-E,Total Adjudicado:,63000,Total Recepcionado:,63000,,
20-1601-00-1064994-1-1,Total Referencial:,158000,Total Adjudicado:,116000,,
20-1228-00-1084138-1-1,Total Referencial:,34100,Total Recepcionado:,34100,,
20-0681-01-1091567-1-1,Total Referencial:,28100,Total Recepcionado:,21025,,
20-1805-00-1040662-0-E,Total Adjudicado:,36077,Total Recepcionado:,36077,,
20-0417-01-1049598-0-E,Total Adjudicado:,102000,Total Recepcionado:,102000,,
20-1539-00-1089149-1-1,Total Referencial:,423116,Total Adjudicado:,26738,Total Recepcionado:,26738
20-0417-04-1047390-0-E,Total Adjudicado:,200000,,,,
20-1120-00-1040556-0-E,Total Adjudicado:,217140,Total Recepcionado:,217140,,
20-1304-00-1091978-1-1,Total Referencial:,133050,Total Adjudicado:,133050,Total Recepcionado:,133050
20-1304-00-1091978-1-1,Total Referencial:,654228,Total Adjudicado:,609470,Total Recepcionado:,609470
20-1304-00-1091978-1-1,Total Referencial:,68804,Total Adjudicado:,68804,Total Recepcionado:,68804
20-1304-00-1091978-1-1,Total Referencial:,66290,Total Adjudicado:,58400,Total Recepcionado:,58400
20-1304-00-1091978-1-1,Total Referencial:,63300,Total Adjudicado:,63300,Total Recepcionado:,63300
20-1601-00-1093781-1-1,Total Referencial:,49250,Total Recepcionado:,37250,,
20-0418-07-1052487-0-E,Total Adjudicado:,430000,Total Recepcionado:,430000,,
20-0902-01-1044182-0-E,Total Adjudicado:,49993.6,Total Recepcionado:,49993.6,,
20-0906-03-1049077-0-E,Total Adjudicado:,22000,Total Recepcionado:,22000,,
21-1341-00-1119584-1-1,Total Referencial:,106200,Total Adjudicado:,102540,Total Recepcionado:,102540
21-1341-00-1119584-1-1,Total Referencial:,60615,Total Adjudicado:,55870,Total Recepcionado:,55870
20-1406-00-1037976-0-E,Total Adjudicado:,48950,Total Recepcionado:,48950,,
20-1201-00-1089744-1-1,Total Referencial:,49660,Total Recepcionado:,49660,,
